Id,Entidad financiera,Dirección,Localidad,CP,Telediscado,Teléfono,Fax,Caj.Aut.,Latitud,Longitud
6135,BANCO BBVA ARGENTINA S.A.,12 DE ABRIL 342/350,COLON,E3280AAH,3447,420281,,NO,-32.222423,-58.140274
6136,NUEVO BANCO DE ENTRE RÍOS S.A.,12 DE ABRIL 351,COLON,E3280AAG,,,,NO,-32.13224,-58.08257
6137,BANCO SANTANDER ARGENTINA S.A.,SAN MARTIN 267 PB DPTO: 1,COLON,E3280DED,,,,NO,32.220582,58.138906
6138,NUEVO BANCO DE ENTRE RÍOS S.A.,YAÑEZ MARTIN 480,COLONIA AVELLANEDA,E3107BHJ,,,,NO,-31.45553,-60.24452
6139,NUEVO BANCO DE ENTRE RÍOS S.A.,AVENIDA PATRIA S/N,COLONIA AYUI,E3201XAN,,,,NO,-31.122,-58.0201
6140,NUEVO BANCO DE ENTRE RÍOS S.A.,AVENIDA ROCA S/N Y CALLE N° 9,COLONIA ELIA,E3261XAC,,,,NO,-32.670136,-58.325829
6141,NUEVO BANCO DE ENTRE RÍOS S.A.,ACCESO A PUERTO YERUA S/N,COLONIA YERUA,E3203XAI,,,,NO,-31.506375,-58.135266
6142,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,8 DE JUNIO 800,CONCEPCION DEL URUGUAY,E3260AOB,,,,NO,-32.48281,-58.23529
6143,BANCO PATAGONIA S.A.,9 DE JULIO 829,CONCEPCION DEL URUGUAY,E3260ABA,,,,NO,-32.485042,-58.234324
6144,BANCO CREDICOOP COOPERATIVO LIMITADO,9 DE JULIO 835,CONCEPCION DEL URUGUAY,E3260ABA,,,,NO,-32.485061,-58.234421
6145,BANCO CREDICOOP COOPERATIVO LIMITADO,9 DE JULIO 835,CONCEPCION DEL URUGUAY,E3260ABA,3442,432332,432332,NO,-32.485061,-58.234421
6146,BANCO BBVA ARGENTINA S.A.,9 DE JULIO 876,CONCEPCION DEL URUGUAY,E3260ABD,,,,NO,-32.4851,-58.234615
6147,BANCO BBVA ARGENTINA S.A.,9 DE JULIO 876,CONCEPCION DEL URUGUAY,E3260ABD,3442,432559,,NO,-32.4851,-58.234615
6148,NUEVO BANCO DE ENTRE RÍOS S.A.,CONGRESO DE TUCUMAN 99,CONCEPCION DEL URUGUAY,E3260FTA,,,,NO,-32.29015,-58.14058
6149,BANCO DE LA NACION ARGENTINA,ESPAÑA 49,CONCEPCION DEL URUGUAY,E3264CPC,,,,NO,-32.48575,-582.3391
6150,NUEVO BANCO DE ENTRE RÍOS S.A.,GALARZA 1330,CONCEPCION DEL URUGUAY,E3260AIN,,,,NO,-32.485681,-58.243204
6151,NUEVO BANCO DE ENTRE RÍOS S.A.,GALARZA 700,CONCEPCION DEL URUGUAY,E3260AHN,,,,NO,-32.29016,-58.13555
